2021-05-16 12:02:29.492 | INFO     | bitcoin_models:log_blockchain:119 - 	BLOCKCHAIN:
2021-05-16 12:02:29.493 | INFO     | bitcoin_models:log_blockchain:121 - 		BLOCK (id:a23d80bd-1980-4ac7-9014-35cd9e81be0f, prev: satoshi)
2021-05-16 12:02:29.493 | INFO     | bitcoin_models:log_blockchain:121 - 		BLOCK (id:4552fa94-74f5-4089-8f4d-88e6271e80ab, prev: a23d80bd-1980-4ac7-9014-35cd9e81be0f)
2021-05-16 12:02:29.493 | INFO     | bitcoin_models:log_blockchain:121 - 		BLOCK (id:d328b6e6-be76-45cf-85ad-feae3cfdaac7, prev: 4552fa94-74f5-4089-8f4d-88e6271e80ab)
2021-05-16 12:02:29.494 | INFO     | bitcoin_models:log_blockchain:121 - 		BLOCK (id:8619e7d1-606a-47a4-b64c-65781f019f63, prev: d328b6e6-be76-45cf-85ad-feae3cfdaac7)
2021-05-16 12:02:29.494 | INFO     | bitcoin_models:log_blockchain:121 - 		BLOCK (id:981a813a-ba65-4dce-ba66-a0bb35c3ceee, prev: 8619e7d1-606a-47a4-b64c-65781f019f63)
2021-05-16 12:02:29.494 | INFO     | bitcoin_models:log_blockchain:121 - 		BLOCK (id:ca123ece-ba2c-4a97-8e84-6cc5ae5b63e4, prev: 981a813a-ba65-4dce-ba66-a0bb35c3ceee)
2021-05-16 12:02:29.495 | INFO     | bitcoin_models:log_blockchain:121 - 		BLOCK (id:45726048-ff49-48fb-81eb-0bc2544ee139, prev: ca123ece-ba2c-4a97-8e84-6cc5ae5b63e4)
2021-05-16 12:02:29.495 | INFO     | bitcoin_models:log_blockchain:121 - 		BLOCK (id:766cb992-f319-4891-bf1f-5469ceec644d, prev: 45726048-ff49-48fb-81eb-0bc2544ee139)
2021-05-16 12:02:29.495 | INFO     | bitcoin_models:log_blockchain:122 - 	HEADS:
2021-05-16 12:02:29.495 | INFO     | bitcoin_models:log_blockchain:124 - 		BLOCK (id:766cb992-f319-4891-bf1f-5469ceec644d, prev: 45726048-ff49-48fb-81eb-0bc2544ee139)
2021-05-16 12:02:29.496 | INFO     | bitcoin_models:log_blockchain:118 - MINER_D
2021-05-16 12:02:29.496 | INFO     | bitcoin_models:log_blockchain:119 - 	BLOCKCHAIN:
2021-05-16 12:02:29.496 | INFO     | bitcoin_models:log_blockchain:121 - 		BLOCK (id:a23d80bd-1980-4ac7-9014-35cd9e81be0f, prev: satoshi)
2021-05-16 12:02:29.496 | INFO     | bitcoin_models:log_blockchain:121 - 		BLOCK (id:4552fa94-74f5-4089-8f4d-88e6271e80ab, prev: a23d80bd-1980-4ac7-9014-35cd9e81be0f)
2021-05-16 12:02:29.497 | INFO     | bitcoin_models:log_blockchain:121 - 		BLOCK (id:d328b6e6-be76-45cf-85ad-feae3cfdaac7, prev: 4552fa94-74f5-4089-8f4d-88e6271e80ab)
2021-05-16 12:02:29.497 | INFO     | bitcoin_models:log_blockchain:121 - 		BLOCK (id:8619e7d1-606a-47a4-b64c-65781f019f63, prev: d328b6e6-be76-45cf-85ad-feae3cfdaac7)
2021-05-16 12:02:29.497 | INFO     | bitcoin_models:log_blockchain:121 - 		BLOCK (id:981a813a-ba65-4dce-ba66-a0bb35c3ceee, prev: 8619e7d1-606a-47a4-b64c-65781f019f63)
2021-05-16 12:02:29.497 | INFO     | bitcoin_models:log_blockchain:121 - 		BLOCK (id:ca123ece-ba2c-4a97-8e84-6cc5ae5b63e4, prev: 981a813a-ba65-4dce-ba66-a0bb35c3ceee)
